model,accuracy,f1_macro,precision_macro,recall_macro,score
RandomForest,0.7604804521902967,0.7607112035238771,0.7796419733914327,0.7519037206499108,0.760641978123803
GradientBoosting,0.7336316533207725,0.7339462948748207,0.7487213721570111,0.7271073541275981,0.7338519024086062
DecisionTree,0.7145548751766369,0.7133226644684504,0.7402480203392856,0.7033528669950105,0.7136923276809063
LogisticRegression,0.7001884126236458,0.6950440715281991,0.7103041012239114,0.6906814496408978,0.6965873738568331
KNN,0.658502119642016,0.6567356834959653,0.672920675737961,0.6528241917523229,0.6572656143397805
SVM,0.6295336787564767,0.6295142988264312,0.6582607123469822,0.6308728121771998,0.6295201128054448
